ticker,volume,open,close,high,low,window_start,transactions,date
AAPL,42372021,178.88,177.45,179.48,177.05,1692072000000000000,510032,2023-08-15
AAPL,44004302,177.13,176.57,178.54,176.5,1692158400000000000,526031,2023-08-16
AAPL,62986302,177.14,174.0,177.5054,173.48,1692244800000000000,673036,2023-08-17
AAPL,58686382,172.3,174.49,175.1,171.96,1692331200000000000,596418,2023-08-18
AAPL,44801887,175.07,175.84,176.13,173.735,1692590400000000000,559629,2023-08-21
AAPL,41029133,177.06,177.23,177.68,176.25,1692676800000000000,501469,2023-08-22
AAPL,52269262,178.52,181.12,181.55,178.325,1692763200000000000,587115,2023-08-23
AAPL,52756684,180.674,176.38,181.104,176.01,1692849600000000000,610334,2023-08-24
AAPL,46851394,177.38,178.61,179.15,175.82,1692936000000000000,554733,2023-08-25
AAPL,41201415,180.09,180.19,180.59,178.545,1693195200000000000,532459,2023-08-28
AAPL,52405912,179.695,184.12,184.9,179.5,1693281600000000000,576436,2023-08-29
AAPL,60314649,184.94,187.65,187.85,184.74,1693368000000000000,636402,2023-08-30
AAPL,58721169,187.84,187.87,189.12,187.48,1693454400000000000,554767,2023-08-31
AAPL,43332909,189.485,189.46,189.92,188.28,1693540800000000000,530218,2023-09-01
AAPL,44349977,188.28,189.7,189.98,187.61,1693886400000000000,602392,2023-09-05
AAPL,80952749,188.4,182.91,188.85,181.47,1693972800000000000,880047,2023-09-06
AAPL,111027165,175.18,177.56,178.21,173.54,1694059200000000000,1210031,2023-09-07
AAPL,64699395,178.35,178.18,180.239,177.79,1694145600000000000,755351,2023-09-08
AAPL,57437876,180.07,179.36,180.3,177.34,1694404800000000000,722378,2023-09-11
AAPL,89755605,179.49,176.3,180.13,174.82,1694491200000000000,937380,2023-09-12
AAPL,82874260,176.51,174.21,177.3,173.98,1694577600000000000,835091,2023-09-13
AAPL,58816682,174.0,175.74,176.1,173.58,1694664000000000000,640955,2023-09-14
AAPL,105631558,176.48,175.01,176.495,173.82,1694750400000000000,729645,2023-09-15
AAPL,65023868,176.48,177.97,179.38,176.17,1695009600000000000,731232,2023-09-18
AAPL,51184117,177.52,179.07,179.63,177.13,1695096000000000000,524367,2023-09-19
AAPL,54846269,179.26,175.49,179.695,175.4,1695182400000000000,600167,2023-09-20
AAPL,61335219,174.55,173.93,176.3,173.86,1695268800000000000,631417,2023-09-21
AAPL,55598194,174.67,174.79,177.079,174.05,1695355200000000000,606110,2023-09-22
AAPL,45351014,174.2,176.08,176.97,174.15,1695614400000000000,564169,2023-09-25
AAPL,62429386,174.82,171.96,175.2,171.66,1695700800000000000,688280,2023-09-26
AAPL,65107527,172.62,170.43,173.04,169.05,1695787200000000000,707796,2023-09-27
AAPL,55417380,169.34,170.69,172.03,167.62,1695873600000000000,618527,2023-09-28
AAPL,50490913,172.02,171.21,173.07,170.341,1695960000000000000,535035,2023-09-29
AAPL,50260587,171.22,173.75,174.3,170.93,1696219200000000000,617135,2023-10-02
AAPL,48863323,172.255,172.4,173.63,170.82,1696305600000000000,542514,2023-10-03
AAPL,52245975,171.09,173.66,174.21,170.97,1696392000000000000,560928,2023-10-04
AAPL,47936380,173.79,174.91,175.45,172.68,1696478400000000000,509119,2023-10-05
AAPL,56567346,173.8,177.49,177.99,173.18,1696564800000000000,593880,2023-10-06
AAPL,41525640,176.81,178.99,179.05,175.8,1696824000000000000,518213,2023-10-09
AAPL,43300752,178.1,178.39,179.72,177.95,1696910400000000000,524887,2023-10-10
AAPL,45853965,178.2,179.8,179.85,177.6,1696996800000000000,503406,2023-10-11
AAPL,54172970,180.07,180.71,182.34,179.04,1697083200000000000,616814,2023-10-12
AAPL,49682156,181.42,178.85,181.93,178.14,1697169600000000000,531376,2023-10-13
AAPL,52015186,176.75,178.72,179.075,176.51,1697428800000000000,632539,2023-10-16
AAPL,57008588,176.645,177.15,178.42,174.8,1697515200000000000,592264,2023-10-17
AAPL,53851121,175.58,175.84,177.575,175.11,1697601600000000000,540122,2023-10-18
AAPL,57173058,176.04,175.46,177.84,175.19,1697688000000000000,560216,2023-10-19
AAPL,62205567,175.31,172.88,175.42,172.64,1697774400000000000,600253,2023-10-20
AAPL,53218492,170.91,173.0,174.01,169.93,1698033600000000000,639569,2023-10-23
AAPL,43034688,173.05,173.44,173.67,171.45,1698120000000000000,530366,2023-10-24
AAPL,54317510,171.88,171.1,173.06,170.65,1698206400000000000,610097,2023-10-25
AAPL,69451372,170.37,166.89,171.3775,165.67,1698292800000000000,815167,2023-10-26
AAPL,57278768,166.91,168.22,168.96,166.83,1698379200000000000,609474,2023-10-27
AAPL,49629238,169.02,170.29,171.17,168.87,1698638400000000000,628199,2023-10-30
AAPL,41833960,169.35,170.77,170.9,167.9,1698724800000000000,509770,2023-10-31
AAPL,56098854,171.0,173.97,174.23,170.12,1698811200000000000,633418,2023-11-01
AAPL,75841189,175.52,177.57,177.78,175.46,1698897600000000000,804988,2023-11-02
AAPL,79159865,174.24,176.65,176.82,173.35,1698984000000000000,857989,2023-11-03
AAPL,62843501,176.38,179.23,179.43,176.21,1699246800000000000,678061,2023-11-06
AAPL,67948416,179.18,181.82,182.44,178.97,1699333200000000000,653718,2023-11-07
AAPL,48603063,182.35,182.89,183.45,181.59,1699419600000000000,542348,2023-11-08
AAPL,51886113,182.96,182.41,184.12,181.81,1699506000000000000,545602,2023-11-09
AAPL,64079864,183.97,186.4,186.565,183.53,1699592400000000000,610860,2023-11-10
AAPL,42726925,185.82,184.8,186.03,184.21,1699851600000000000,530345,2023-11-13
AAPL,59534396,187.7,187.44,188.11,186.3,1699938000000000000,609151,2023-11-14
AAPL,52689408,187.845,188.01,189.5,187.78,1700024400000000000,564085,2023-11-15
AAPL,53654766,189.57,189.71,190.96,188.65,1700110800000000000,620678,2023-11-16
AAPL,49493119,190.25,189.69,190.38,188.57,1700197200000000000,510164,2023-11-17
AAPL,45489142,189.89,191.45,191.905,189.88,1700456400000000000,553967,2023-11-20
AAPL,37486699,191.41,190.64,191.52,189.74,1700542800000000000,450698,2023-11-21
AAPL,38895487,191.49,191.31,192.93,190.825,1700629200000000000,463516,2023-11-22
AAPL,23404500,190.87,189.97,190.9,189.25,1700802000000000000,335912,2023-11-24
AAPL,37815315,189.92,189.79,190.67,188.9,1701061200000000000,508834,2023-11-27
